workspace_slug,workspace_name,source,Primary
ihm,IHM,btl rom,BTL
ihm,IHM,BTL ROM,BTL
ihm,IHM,ca226 kapp02,Data Base
ihm,IHM,cad90 bm51,Data Base
ihm,IHM,cad90 U200,Data Base
ihm,IHM,cad90 VJ38e,Data Base
ihm,IHM,chat,Organic
ihm,IHM,Chat,Organic
ihm,IHM,Chatgpt,Meta
ihm,IHM,chatgpt.com,Meta
ihm,IHM,collegedunia,Publisher
ihm,IHM,Collegedunia,Publisher
ihm,IHM,colleges/schools,Data Base
ihm,IHM,Colleges/Schools,Data Base
ihm,IHM,Current ITM Student,Data Base
ihm,IHM,database,Data Base
ihm,IHM,Database,Data Base
ihm,IHM,default_source,Data Base
ihm,IHM,Demand-Gen,Meta
ihm,IHM,direct,Organic
ihm,IHM,Direct,Organic
ihm,IHM,direct walk-in,Walk - in
ihm,IHM,email,Organic
ihm,IHM,facebook,Meta
ihm,IHM,Facebook,Meta
ihm,IHM,fb,Meta
ihm,IHM,flyer,BTL
ihm,IHM,G490,Data Base
ihm,IHM,GBP,Data Base
ihm,IHM,GG001,Data Base
ihm,IHM,google,Meta
ihm,IHM,Google Ads,Meta
ihm,IHM,inbound call,Incomming calls
ihm,IHM,Inbound Call,Incomming calls
ihm,IHM,Incoming Call,Incomming calls
ihm,IHM,incoming calls,Incomming calls
ihm,IHM,inhouse,Data Base
ihm,IHM,ITM Alumnus,Organic
ihm,IHM,ITM Faculty,Organic
ihm,IHM,itm hosted on campus event,BTL
ihm,IHM,JustDial,invalid
ihm,IHM,k100,invalid
ihm,IHM,K1059,invalid
ihm,IHM,KiG03,invalid
ihm,IHM,kollegeapply,Publisher
ihm,IHM,Kollegeapply,Publisher
ihm,IHM,last year future eligible,invalid
ihm,IHM,lead nurturing,Organic
ihm,IHM,Lead Nurturing,Organic
ihm,IHM,LeadAd,invalid
ihm,IHM,ma17,invalid
ihm,IHM,MCM,invalid
ihm,IHM,me43,invalid
ihm,IHM,Mobile App,invalid
ihm,IHM,NA,invalid
ihm,IHM,nerul,Data Base
ihm,IHM,Not Mapped,Data Base
ihm,IHM,npf,Data Base
ihm,IHM,Offline,Data Base
ihm,IHM,organic,Organic
ihm,IHM,Organic,Organic
ihm,IHM,oshiwara,Data Base
ihm,IHM,Other Campaigns,invalid
ihm,IHM,outbound call,invalid
ihm,IHM,Outbound Call,invalid
ihm,IHM,paid,Meta
ihm,IHM,Paid Ads,Meta
ihm,IHM,perplexity,Meta
ihm,IHM,Previous Year Paper,Data Base
ihm,IHM,Publisher Campaign,Publisher
ihm,IHM,referral,Referral
ihm,IHM,Referral,Referral
ihm,IHM,response,invalid
ihm,IHM,search,Meta
ihm,IHM,shiksha,Publisher
ihm,IHM,Shiksha,Publisher
ihm,IHM,social,Meta
ihm,IHM,Social,Meta
ihm,IHM,static,invalid
ihm,IHM,static-HM,invalid
ihm,IHM,Success Mart - Subhash Mate,invalid
ihm,IHM,Telephony,Incomming calls
ihm,IHM,Telephony Inbound,Incomming calls
ihm,IHM,Telephony Outbound,Incomming calls
ihm,IHM,test,invalid
ihm,IHM,thankyoupage,Organic
ihm,IHM,tm51,invalid
ihm,IHM,Vivek Youtuber,Meta
ihm,IHM,wa,Organic
ihm,IHM,Walk In,Walk - in
ihm,IHM,walk-in,Walk - in
ihm,IHM,web,Organic
ihm,IHM,Web,Organic
ihm,IHM,Webinar USA SA,Organic
ihm,IHM,website,Organic
ihm,IHM,Website,Organic
ihm,IHM,websitepyq,Organic
ihm,IHM,whatsapp,Organic
ihm,IHM,WhatsApp,Organic
ihm,IHM,whatsappapplynow,Organic
mba,MBA,Adwords,Invalid
mba,MBA,agents,Agents
mba,MBA,Agents,Agents
mba,MBA,API,Meta
mba,MBA,bing,Meta
mba,MBA,Bing,Meta
mba,MBA,blog,Organic
mba,MBA,Blog,Organic
mba,MBA,Blogs,Organic
mba,MBA,btl,BTL
mba,MBA,Btl,BTL
mba,MBA,BTL,BTL
mba,MBA,btl activity ihm nerul,BTL
mba,MBA,BTL Activity IHM Nerul,BTL
mba,MBA,btl activity ihm oshiwara,BTL
mba,MBA,BTL Activity IHM Oshiwara,BTL
mba,MBA,BTL MM,BTL
mba,MBA,btl rom,BTL
mba,MBA,BTL ROM,BTL
mba,MBA,btlmm,BTL
mba,MBA,Calendly,Organic
mba,MBA,careers360,Publisher
mba,MBA,Careers360,Publisher
mba,MBA,chat,Meta
mba,MBA,Chat,Meta
mba,MBA,Chatgpt,Meta
mba,MBA,chatgpt.com,Meta
mba,MBA,chatgpt.com?utm_source=web,Meta
mba,MBA,college_direct,Organic
mba,MBA,collegedunia,Publisher
mba,MBA,Collegedunia,Publisher
mba,MBA,database,Data Base
mba,MBA,Database,Data Base
mba,MBA,default_source,Invalid
mba,MBA,direct,Organic
mba,MBA,Direct,Organic
mba,MBA,Direct Walk-in,Walk - in
mba,MBA,facebook,Meta
