workspace,sort_order,source
idm,183,m15
idm,184,m16
idm,185,ma11
idm,186,ma53
idm,187,ma69
idm,188,ma70
idm,189,ma72
idm,190,MI331
idm,191,Mobile App
idm,192,MYCIVA
idm,193,NA
idm,194,New ITM Student
idm,195,Nopaperforms
idm,196,Not Mapped
idm,197,Offline
idm,198,online_content
idm,199,organic
idm,200,Organic
idm,201,Other Campaigns
idm,202,others
idm,203,outbound call
idm,204,Outbound Call
idm,205,paid
idm,206,Paid Ads
idm,207,placementpage
idm,208,PNP85
idm,209,PNP89
idm,210,pop_socket
idm,211,Premium Database
idm,212,Previous Year Paper
idm,213,prospect data
idm,214,Prospect Data
idm,215,Publisher Campaign
idm,216,RD5
idm,217,referral
idm,218,Referral
idm,219,response
idm,220,s15302604
idm,221,S15302604
idm,222,Samarth Educares
idm,223,samartheducares
idm,224,sarvgyan
idm,225,Sarvgyan
idm,226,search
idm,227,shiksha
idm,228,Shiksha
idm,229,Silica
idm,230,SINGING LINES
idm,231,singinglines
idm,232,social
idm,233,Social
idm,234,standbanner
idm,235,Telephony
idm,236,Telephony Inbound
idm,237,Telephony Outbound
idm,238,thankyoupage
idm,239,Top Rankers
idm,240,TQi1
idm,241,twigz network
idm,242,twigz_network
idm,243,uceed
idm,244,urmis arts
idm,245,Urmis Arts
idm,246,urmisarts
idm,247,VD_10
idm,248,VJ38d
idm,249,VJ38e
idm,250,VJ38zp
idm,251,VJ398a
idm,252,VJ62
idm,253,Walk In
idm,254,walk ins
idm,255,Walk Ins
idm,256,web
idm,257,Web
idm,258,website
idm,259,Website
idm,260,Website Chat
idm,261,websitepyq
idm,262,whatsapp
idm,263,whatsappleadnurturing_medium=i_ux_1
idm,264,yahoo
idm,265,Zin3
