workspace_slug,workspace_name,template_name,event_count
mba,MBA,copy_of_micro_1,26
mba,MBA,copy_of_retention_final,3
mba,MBA,director_ret_3,3707
mba,MBA,directors_ret_1,817
mba,MBA,directors_ret_2,3864
mba,MBA,final_rem_1_y7,810
mba,MBA,final_rem_2,784
mba,MBA,final_rem_3,755
mba,MBA,final_rem1,21
mba,MBA,final_reminder_2,19
mba,MBA,futurecareer_webinar,1870
mba,MBA,futurecareer_workshoprem,1511
mba,MBA,googleassigned,6342
mba,MBA,ie_msg03,1264
mba,MBA,ie_msg04,1083
mba,MBA,ie_msg1,3941
mba,MBA,ie_msg2,4191
mba,MBA,ie_msg5,1044
mba,MBA,ie_msg6,1023
mba,MBA,ims_delhi,2
mba,MBA,ims_jamshedpur,7
mba,MBA,ims_patna,2
mba,MBA,incomingcalls_un1,30
mba,MBA,incomingcalls_un2,3
mba,MBA,joincommunity,2078
mba,MBA,lead_mba_01,106
mba,MBA,lead_mba_02,171
mba,MBA,lead_mba_03,125
mba,MBA,lead_mba_04,184
mba,MBA,lead_mba_05,257
mba,MBA,lead_mba_06,436
mba,MBA,lead_mba_07,655
mba,MBA,lead_mba_10,788
mba,MBA,lead_mba_11,967
mba,MBA,lead_mba_12,11333
mba,MBA,lead_mba_13,11424
mba,MBA,lead_mba_14,17456
mba,MBA,lead_mba_15,9836
mba,MBA,leadtoappworkshop_1,101
mba,MBA,mba_btl_1,10241
mba,MBA,mba_career360_1,13883
mba,MBA,mba_collegedunia_1,30118
mba,MBA,mba_followup_1,661
mba,MBA,mba_kollegeapply_1,6552
mba,MBA,mba_notconnected_1,13780
mba,MBA,mba_organic_1,3235
mba,MBA,mba_performance_1,8012
mba,MBA,mba_retention_1,851
mba,MBA,mba_retention_2,839
mba,MBA,mba_siksha_1,13069
mba,MBA,mbalnf_001,6029
mba,MBA,mbalnf_002,51584
mba,MBA,mbalnf_01,2537
mba,MBA,mbalnf_010,28970
mba,MBA,mbalnf_011,1210
mba,MBA,mbalnf_05,3955
mba,MBA,mbalnf_09,4838
mba,MBA,meta_followup1,541
mba,MBA,meta_followup2,562
mba,MBA,meta_followup3,587
mba,MBA,meta_msg_1,3
mba,MBA,meta_nc1,3071
mba,MBA,meta_nc2,2955
mba,MBA,meta_nc3,2129
mba,MBA,meta_notelig1,842
mba,MBA,meta_notint1,287
mba,MBA,meta_un1,622
mba,MBA,meta_un2,35
mba,MBA,meta_un3,10
mba,MBA,meta_un4,9
mba,MBA,meta_un5,309
mba,MBA,mhcet_broadcast_2,16948
mba,MBA,micro_1,27
mba,MBA,new_applynow_mba1,1454
mba,MBA,new_applynow_mba2,6143
mba,MBA,new_applynow_mba3,5779
mba,MBA,new_applynow_mba4,5052
mba,MBA,new_applynow_mba5,4590
mba,MBA,new_applynow_mba6,1543
mba,MBA,new_applynow_mba7,2246
mba,MBA,new_mbalnf_005,86235
mba,MBA,new_mbalnf_008,2887
mba,MBA,new_mbalnf_01,8908
mba,MBA,new_mbalnf_015,302
mba,MBA,new_mbalnf_02,1103
mba,MBA,new_mbalnf_03,6499
mba,MBA,new_mbalnf_04,4222
mba,MBA,new_mbalnf_05,7906
mba,MBA,new_mbalnf_06,3594
mba,MBA,new_mbalnf_07,2920
mba,MBA,new_mbalnf_08,10943
mba,MBA,new_mbalnf_09,2715
mba,MBA,new_mbalnf_10,2480
mba,MBA,new_mbalnf_11,2195
mba,MBA,new_mbalnf_12,3206
mba,MBA,new_mbalnf_13,1184
mba,MBA,new_mbalnf_14,1143
mba,MBA,new_mbalnf_16,18772
mba,MBA,organic_followup1,3545
mba,MBA,organic_followup2,2625
mba,MBA,organic_nc1,1558
mba,MBA,organic_nc2,1507
mba,MBA,organic_nc3,1287
mba,MBA,organic_notelig1,246
mba,MBA,organic_notint1,6815
mba,MBA,organic_un1,208
mba,MBA,organic_un2,10
mba,MBA,organic_un3,11
mba,MBA,organic_un4,6
mba,MBA,organic_un5,2
mba,MBA,pub_msg_4,1
mba,MBA,publisher_followup1,593
mba,MBA,publisher_followup2,450
mba,MBA,publisher_nc1,13667
mba,MBA,publisher_nc2,12577
mba,MBA,publisher_nc3,11013
mba,MBA,publisher_notelig1,442
mba,MBA,publisher_un1,15512
mba,MBA,publisher_un2,4843
mba,MBA,publisher_un3,2484
mba,MBA,publisher_un4,2181
mba,MBA,publisher_un5,2016
mba,MBA,referral_followup1,50
mba,MBA,referral_followup2,46
mba,MBA,referral_followup3,6
mba,MBA,referral_msg_4,1
mba,MBA,referral_nc1,273
mba,MBA,referral_nc2,248
mba,MBA,referral_nc3,45
mba,MBA,referral_notelig1,54
mba,MBA,referral_notint1,174
mba,MBA,referral_un1,119
mba,MBA,referral_un2,6
mba,MBA,referral_un3,8
mba,MBA,referral_un4,7
