workspace,bucket,field_path,source_value
mba,crm_distinct_field,source.channel,partner96
mba,crm_distinct_field,source.channel,perplexity
mba,crm_distinct_field,source.channel,referral
mba,crm_distinct_field,source.channel,remarketing
mba,crm_distinct_field,source.channel,shiksha
mba,crm_distinct_field,source.channel,social
mba,crm_distinct_field,source.channel,test
mba,crm_distinct_field,source.channel,twigznetwork
mba,crm_distinct_field,source.channel,visitingCard
mba,crm_distinct_field,source.channel,wa
mba,crm_distinct_field,source.channel,web
mba,crm_distinct_field,source.channel,website
mba,crm_distinct_field,source.channel,websitepyq
mba,crm_distinct_field,source.channel,whatsapp
mba,crm_distinct_field,source.channel,whatsappleadnurturing_medium=imba_1
mba,crm_distinct_field,_source.source,Adwords
mba,crm_distinct_field,_source.source,Agents
mba,crm_distinct_field,_source.source,BTL
mba,crm_distinct_field,_source.source,BTL Activity IHM Nerul
mba,crm_distinct_field,_source.source,BTL Activity IHM Oshiwara
mba,crm_distinct_field,_source.source,BTL ROM
mba,crm_distinct_field,_source.source,Bing
mba,crm_distinct_field,_source.source,Blog
mba,crm_distinct_field,_source.source,Btl
mba,crm_distinct_field,_source.source,Calendly
mba,crm_distinct_field,_source.source,Database
mba,crm_distinct_field,_source.source,Direct Walk-in
mba,crm_distinct_field,_source.source,Facebook
mba,crm_distinct_field,_source.source,Google
mba,crm_distinct_field,_source.source,Inbound Call
mba,crm_distinct_field,_source.source,Incoming Calls
mba,crm_distinct_field,_source.source,Incoming call
mba,crm_distinct_field,_source.source,Inhouse Social Media
mba,crm_distinct_field,_source.source,Organic
mba,crm_distinct_field,_source.source,Outbound Call
mba,crm_distinct_field,_source.source,Referral
mba,crm_distinct_field,_source.source,Shiksha
mba,crm_distinct_field,_source.source,Twigz
mba,crm_distinct_field,_source.source,Walk In
mba,crm_distinct_field,_source.source,Walk-in
mba,crm_distinct_field,_source.source,Walkin
mba,crm_distinct_field,_source.source,Web
mba,crm_distinct_field,_source.source,Website
mba,crm_distinct_field,_source.source,agents
mba,crm_distinct_field,_source.source,bing
mba,crm_distinct_field,_source.source,blog
mba,crm_distinct_field,_source.source,btl
mba,crm_distinct_field,_source.source,btl activity ihm nerul
mba,crm_distinct_field,_source.source,btl activity ihm oshiwara
mba,crm_distinct_field,_source.source,btl rom
mba,crm_distinct_field,_source.source,btlmm
mba,crm_distinct_field,_source.source,careers360
mba,crm_distinct_field,_source.source,chat
mba,crm_distinct_field,_source.source,chatgpt.com
mba,crm_distinct_field,_source.source,chatgpt.com?utm_source=web
mba,crm_distinct_field,_source.source,college_direct
mba,crm_distinct_field,_source.source,collegedunia
mba,crm_distinct_field,_source.source,database
mba,crm_distinct_field,_source.source,default_source
mba,crm_distinct_field,_source.source,direct
mba,crm_distinct_field,_source.source,facebook
mba,crm_distinct_field,_source.source,flyer
mba,crm_distinct_field,_source.source,gdn
mba,crm_distinct_field,_source.source,google
mba,crm_distinct_field,_source.source,ig
mba,crm_distinct_field,_source.source,itm
mba,crm_distinct_field,_source.source,kollegeapply
mba,crm_distinct_field,_source.source,lead nurturing
mba,crm_distinct_field,_source.source,letsupgrade
mba,crm_distinct_field,_source.source,organic
mba,crm_distinct_field,_source.source,other
mba,crm_distinct_field,_source.source,partner10
mba,crm_distinct_field,_source.source,partner100
mba,crm_distinct_field,_source.source,partner114
