workspace_slug,workspace_name,source
idm,IDM,samartheducares
idm,IDM,sarvgyan
idm,IDM,Sarvgyan
idm,IDM,search
idm,IDM,shiksha
idm,IDM,Shiksha
idm,IDM,Silica
idm,IDM,SINGING LINES
idm,IDM,singinglines
idm,IDM,social
idm,IDM,Social
idm,IDM,standbanner
idm,IDM,Telephony
idm,IDM,Telephony Inbound
idm,IDM,Telephony Outbound
idm,IDM,thankyoupage
idm,IDM,Top Rankers
idm,IDM,TQi1
idm,IDM,twigz network
idm,IDM,twigz_network
idm,IDM,uceed
idm,IDM,urmis arts
idm,IDM,Urmis Arts
idm,IDM,urmisarts
idm,IDM,VD_10
idm,IDM,VJ38d
idm,IDM,VJ38e
idm,IDM,VJ38zp
idm,IDM,VJ398a
idm,IDM,VJ62
idm,IDM,Walk In
idm,IDM,walk ins
idm,IDM,Walk Ins
idm,IDM,web
idm,IDM,Web
idm,IDM,website
idm,IDM,Website
idm,IDM,Website Chat
idm,IDM,websitepyq
idm,IDM,whatsapp
idm,IDM,whatsappleadnurturing_medium=i_ux_1
idm,IDM,yahoo
idm,IDM,Zin3
ihm,IHM,02271775144
ihm,IHM,12th-comm
ihm,IHM,1725678642
ihm,IHM,1725678643
ihm,IHM,208
ihm,IHM,211
ihm,IHM,211_RV
ihm,IHM,214
ihm,IHM,217
ihm,IHM,217_RV
ihm,IHM,220
ihm,IHM,227
ihm,IHM,227_RV
ihm,IHM,230
ihm,IHM,255
ihm,IHM,262
ihm,IHM,agents
ihm,IHM,Agents
ihm,IHM,bing
ihm,IHM,Bing
ihm,IHM,blog
ihm,IHM,Blog
ihm,IHM,bm51
ihm,IHM,bm54
ihm,IHM,btl
ihm,IHM,BTL
ihm,IHM,btl activity ihm nerul
ihm,IHM,BTL Activity IHM Nerul
ihm,IHM,btl activity ihm oshiwara
ihm,IHM,BTL Activity IHM Oshiwara
ihm,IHM,btl rom
ihm,IHM,BTL ROM
ihm,IHM,ca226 kapp02
ihm,IHM,cad90 bm51
ihm,IHM,cad90 U200
ihm,IHM,cad90 VJ38e
ihm,IHM,chat
ihm,IHM,Chat
ihm,IHM,Chatgpt
ihm,IHM,chatgpt.com
ihm,IHM,collegedunia
ihm,IHM,Collegedunia
ihm,IHM,colleges/schools
ihm,IHM,Colleges/Schools
ihm,IHM,Current ITM Student
ihm,IHM,database
ihm,IHM,Database
ihm,IHM,default_source
ihm,IHM,Demand-Gen
ihm,IHM,direct
ihm,IHM,Direct
ihm,IHM,direct walk-in
ihm,IHM,email
ihm,IHM,facebook
ihm,IHM,Facebook
ihm,IHM,fb
ihm,IHM,flyer
ihm,IHM,G490
ihm,IHM,GBP
ihm,IHM,GG001
ihm,IHM,google
ihm,IHM,Google Ads
ihm,IHM,inbound call
ihm,IHM,Inbound Call
ihm,IHM,Incoming Call
ihm,IHM,incoming calls
ihm,IHM,inhouse
ihm,IHM,ITM Alumnus
ihm,IHM,ITM Faculty
ihm,IHM,itm hosted on campus event
ihm,IHM,JustDial
ihm,IHM,k100
ihm,IHM,K1059
ihm,IHM,KiG03
ihm,IHM,kollegeapply
ihm,IHM,Kollegeapply
ihm,IHM,last year future eligible
ihm,IHM,lead nurturing
ihm,IHM,Lead Nurturing
ihm,IHM,LeadAd
ihm,IHM,ma17
ihm,IHM,MCM
ihm,IHM,me43
ihm,IHM,Mobile App
ihm,IHM,NA
ihm,IHM,nerul
ihm,IHM,Not Mapped
ihm,IHM,npf
ihm,IHM,Offline
ihm,IHM,organic
ihm,IHM,Organic
ihm,IHM,oshiwara
ihm,IHM,Other Campaigns
ihm,IHM,outbound call
ihm,IHM,Outbound Call
ihm,IHM,paid
ihm,IHM,Paid Ads
ihm,IHM,perplexity
ihm,IHM,Previous Year Paper
ihm,IHM,Publisher Campaign
ihm,IHM,referral
ihm,IHM,Referral
ihm,IHM,response
ihm,IHM,search
ihm,IHM,shiksha
