stream_id,course_label,source,count
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",lead nurturing,1
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",organic,1
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",perplexity,1
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",referral,27
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",shiksha,15
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",social,5
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",web,1
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",website,28
MBA_itm_crm_leads,Specialization Not Available,API,807
MBA_itm_crm_leads,Specialization Not Available,Agents,92
MBA_itm_crm_leads,Specialization Not Available,Calendly,1
MBA_itm_crm_leads,Specialization Not Available,Chat,185
MBA_itm_crm_leads,Specialization Not Available,Database,29615
MBA_itm_crm_leads,Specialization Not Available,Facebook,164
MBA_itm_crm_leads,Specialization Not Available,Inbound Call,198
MBA_itm_crm_leads,Specialization Not Available,Incoming Calls,18
MBA_itm_crm_leads,Specialization Not Available,Offline,99028
MBA_itm_crm_leads,Specialization Not Available,Online,500
MBA_itm_crm_leads,Specialization Not Available,Organic,2
MBA_itm_crm_leads,Specialization Not Available,Referral,7
MBA_itm_crm_leads,Specialization Not Available,Shiksha,1
MBA_itm_crm_leads,Specialization Not Available,Telephony,545
MBA_itm_crm_leads,Specialization Not Available,Twigz,2
MBA_itm_crm_leads,Specialization Not Available,Walk In,4
MBA_itm_crm_leads,Specialization Not Available,Web,11
MBA_itm_crm_leads,Specialization Not Available,Widget,3967
MBA_itm_crm_leads,Specialization Not Available,btl,7553
MBA_itm_crm_leads,Specialization Not Available,chat,2
MBA_itm_crm_leads,Specialization Not Available,chatgpt.com,1
MBA_itm_crm_leads,Specialization Not Available,database,2168
MBA_itm_crm_leads,Specialization Not Available,default_source,3
MBA_itm_crm_leads,Specialization Not Available,direct,18
MBA_itm_crm_leads,Specialization Not Available,google,2
MBA_itm_crm_leads,Specialization Not Available,organic,23
MBA_itm_crm_leads,Specialization Not Available,other,1
MBA_itm_crm_leads,Specialization Not Available,partner164,49
MBA_itm_crm_leads,Specialization Not Available,partner166,2
MBA_itm_crm_leads,Specialization Not Available,partner167,1
MBA_itm_crm_leads,Specialization Not Available,partner89,1
MBA_itm_crm_leads,Specialization Not Available,referral,1
MBA_itm_crm_leads,Specialization Not Available,web,9
MBA_itm_crm_leads,Specialization Not Available,whatsapp,26
